3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,495,496,497,498,499,525,514,515,516,517,3,3,3,3,3,3
3,3,3,3,526,527,528,529,530,3,3,3,3,3,3,3,3
3,3,3,3,3,514,515,516,517,225,227,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,240,242,-1,-1,-1,-1,-1,-1
3,3,3,3,3,3,3,3,3,240,242,-1,-1,-1,-1,-1,-1
3,3,3,3,3,3,3,3,3,240,242,-1,-1,-1,204,-1,-1
226,226,226,226,226,226,226,226,226,286,287,226,226,226,226,226,226
