3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
226,226,226,227,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3
241,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,228,3,3,3,3,3,3
241,241,241,242,3,3,3,-1,-1,3,180,3,3,3,3,3,3,3,181,3,3,243,3,3,3,-1,3,3
241,241,241,244,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,285,226,226,226,226,226,226
