3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,225,226,226,227,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
226,226,227,240,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,225,226,226,226
241,241,242,240,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,240,241,241,241
241,241,242,240,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,240,241,241,241
241,241,287,240,241,241,242,3,3,3,3,3,3,3,3,3,3,3,3,3,240,241,241,241
